,Quarter,Municipality,Total,Males,Females,Non-binary/Other,Icelandic citizens,Foreign citizens
171,2011Q2, Svalbardsstrandarhreppur,380,190,190,.,350,30
172,2011Q2, Grytubakkahreppur,340,170,160,.,320,15
173,2011Q2, Tjorneshreppur,60,30,25,.,60,.
174,2011Q2, Thingeyjarsveit,1300,670,620,.,1260,30
175,2011Q2, Langanesbyggd,610,320,290,.,550,60
176,2011Q2, Fjardabyggd,4740,2550,2200,.,4310,440
177,2011Q2, Mulathing,4630,2400,2240,.,4390,240
178,2011Q2, Vopnafjardarhreppur,670,350,320,.,650,20
179,2011Q2, Fljotsdalshreppur,80,50,30,.,80,.
180,2011Q2, Vestmannaeyjabaer,4140,2160,1980,.,4010,130
181,2011Q2, Sveitarfelagid Arborg,7720,3920,3800,.,7420,300
182,2011Q2, Sveitarfelagid Hornafjordur,2110,1110,990,.,2010,100
183,2011Q2, Myrdalshreppur,470,250,220,.,450,25
184,2011Q2, Skaftarhreppur,440,230,210,.,430,10
185,2011Q2, Asahreppur,200,90,100,.,180,20
186,2011Q2, Rangarthing eystra,1720,900,820,.,1560,160
187,2011Q2, Rangarthing ytra,1490,740,750,.,1370,110
188,2011Q2, Hrunamannahreppur,770,400,370,.,670,100
189,2011Q2, Hveragerdisbaer,2270,1140,1130,.,2190,80
190,2011Q2, Sveitarfelagid Olfus,1900,1000,900,.,1650,240
191,2011Q2, Grimsnes- og Grafningshreppur,400,220,180,.,370,25
192,2011Q2, Skeida- og Gnupverjahreppur,490,250,240,.,470,25
193,2011Q2, Blaskogabyggd,910,440,460,.,820,90
194,2011Q2, Floahreppur,600,320,280,.,580,20
195,2011Q3,Total,312510,156170,156340,.,293700,18810
196,2011Q3,Capital region,198180,97830,100340,.,186080,12100
197,2011Q3, Reykjavikurborg,115340,56820,58530,.,107300,8050
198,2011Q3, Kopavogsbaer,30530,15100,15430,.,28910,1620
199,2011Q3, Seltjarnarnesbaer,4160,2030,2130,.,3990,170
200,2011Q3, Gardabaer,13300,6570,6730,.,12930,370
201,2011Q3, Hafnarfjardarkaupstadur,25940,12770,13170,.,24370,1570
202,2011Q3, Mosfellsbaer,8690,4430,4260,.,8380,310
